stock,date,average_sentiment_score,dominant_sentiment_average,bullish_articles,bearish_articles,neutral_articles,dominant_sentiment_majority,num_articles_fetched
AAPL,1/1/2021,0.152380952,bullish,3,0,4,neutral,7
MSFT,1/1/2021,0.094358974,bullish,5,2,6,neutral,13
GOOGL,1/1/2021,0.039777778,neutral,2,1,12,neutral,15
AMZN,1/1/2021,0.193333333,bullish,2,0,2,bullish,4
NVDA,1/1/2021,0.271333333,bullish,4,0,1,bullish,5
META,1/1/2021,0.021574675,neutral,3,3,10,neutral,16
TSLA,1/1/2021,0.081481481,bullish,3,1,5,neutral,9
BTC,1/1/2021,0.051467405,bullish,7,3,7,bullish,17
AAPL,1/4/2021,0.063636364,bullish,2,0,9,neutral,11
MSFT,1/4/2021,0.037088745,neutral,6,2,6,bullish,14
GOOGL,1/4/2021,0.051657197,bullish,5,2,9,neutral,16
AMZN,1/4/2021,0.041481481,neutral,3,2,4,neutral,9
NVDA,1/4/2021,0.123333333,bullish,3,1,1,bullish,5
META,1/4/2021,0.044786464,neutral,5,2,8,neutral,15
TSLA,1/4/2021,0.023253367,neutral,5,2,5,bullish,12
BTC,1/4/2021,0.034791524,neutral,4,2,13,neutral,19
AAPL,1/5/2021,0.015512266,neutral,4,3,14,neutral,21
MSFT,1/5/2021,0.03771279,neutral,7,2,8,neutral,17
GOOGL,1/5/2021,0.057768158,bullish,7,0,14,neutral,21
AMZN,1/5/2021,0.024794095,neutral,4,4,5,neutral,13
NVDA,1/5/2021,0.070833333,bullish,2,1,1,bullish,4
META,1/5/2021,0.014094618,neutral,7,4,11,neutral,22
TSLA,1/5/2021,0.004930888,neutral,5,3,11,neutral,19
BTC,1/5/2021,0.030278243,neutral,7,5,19,neutral,31
AAPL,1/6/2021,0.02592249,neutral,5,4,12,neutral,21
MSFT,1/6/2021,0.019869652,neutral,3,0,14,neutral,17
GOOGL,1/6/2021,0.065277778,bullish,6,0,14,neutral,20
AMZN,1/6/2021,0.056685032,bullish,4,3,4,bullish,11
NVDA,1/6/2021,0,neutral,0,0,0,neutral,0
META,1/6/2021,0.004144708,neutral,6,4,13,neutral,23
TSLA,1/6/2021,-0.003693756,neutral,5,4,13,neutral,22
BTC,1/6/2021,0.044023254,neutral,11,3,15,neutral,29
AAPL,1/7/2021,0.070982143,bullish,7,3,6,bullish,16
MSFT,1/7/2021,0.007575758,neutral,1,0,11,neutral,12
GOOGL,1/7/2021,0.057958153,bullish,7,1,10,neutral,18
AMZN,1/7/2021,-0.003516114,neutral,2,1,6,neutral,9
NVDA,1/7/2021,0,neutral,0,0,1,neutral,1
META,1/7/2021,-0.007507707,neutral,3,3,16,neutral,22
TSLA,1/7/2021,-0.01020202,neutral,4,4,12,neutral,20
BTC,1/7/2021,0.04909416,neutral,11,1,17,neutral,29
AAPL,1/8/2021,0.053661616,bullish,8,3,7,bullish,18
MSFT,1/8/2021,0.026446281,neutral,3,2,6,neutral,11
GOOGL,1/8/2021,0.033680556,neutral,4,1,11,neutral,16
AMZN,1/8/2021,0.018928571,neutral,3,1,8,neutral,12
NVDA,1/8/2021,0.133333333,bullish,1,0,2,neutral,3
META,1/8/2021,0.02099361,neutral,3,1,17,neutral,21
TSLA,1/8/2021,0.049033816,neutral,9,3,11,neutral,23
BTC,1/8/2021,0.067962963,bullish,10,2,15,neutral,27
AAPL,1/11/2021,0.039772727,neutral,2,0,2,bullish,4
MSFT,1/11/2021,0.040435606,neutral,2,0,9,neutral,11
GOOGL,1/11/2021,-0.016437908,neutral,3,3,11,neutral,17
AMZN,1/11/2021,0.071998557,bullish,3,0,5,neutral,8
NVDA,1/11/2021,0.04,neutral,0,0,1,neutral,1
META,1/11/2021,0.02325528,neutral,4,2,16,neutral,22
TSLA,1/11/2021,0.065981977,bullish,5,0,9,neutral,14
BTC,1/11/2021,0.010577922,neutral,7,5,18,neutral,30
AAPL,1/12/2021,0.031666667,neutral,4,0,6,neutral,10
MSFT,1/12/2021,0.034657964,neutral,2,0,10,neutral,12
GOOGL,1/12/2021,0.041580087,neutral,7,2,12,neutral,21
AMZN,1/12/2021,0.096159812,bullish,4,0,4,bullish,8
NVDA,1/12/2021,0.134075448,bullish,4,0,3,bullish,7
META,1/12/2021,0.012193362,neutral,4,1,16,neutral,21
TSLA,1/12/2021,0.025652443,neutral,5,1,9,neutral,15
BTC,1/12/2021,0.035420819,neutral,10,6,27,neutral,43
AAPL,1/13/2021,0.065675991,bullish,5,1,7,neutral,13
MSFT,1/13/2021,0.044525947,neutral,2,1,6,neutral,9
GOOGL,1/13/2021,0.058160487,bullish,8,1,14,neutral,23
AMZN,1/13/2021,0.064182643,bullish,3,0,4,neutral,7
NVDA,1/13/2021,0.080640693,bullish,5,1,4,bullish,10
META,1/13/2021,0.019515265,neutral,4,2,13,neutral,19
TSLA,1/13/2021,0.057575758,bullish,5,1,6,neutral,12
BTC,1/13/2021,0.03150706,neutral,9,8,25,neutral,42
AAPL,1/14/2021,0.091934046,bullish,8,1,8,bullish,17
MSFT,1/14/2021,0.00473064,neutral,2,2,6,neutral,10
GOOGL,1/14/2021,0.045006061,neutral,6,1,18,neutral,25
AMZN,1/14/2021,0.020707071,neutral,1,0,5,neutral,6
NVDA,1/14/2021,-0.033030303,bearish,1,1,2,neutral,4
META,1/14/2021,0.044689598,neutral,7,2,14,neutral,23
TSLA,1/14/2021,0.124494949,bullish,7,2,5,bullish,14
BTC,1/14/2021,0.020508566,neutral,12,11,24,neutral,47
AAPL,1/15/2021,0.105627706,bullish,12,0,9,bullish,21
MSFT,1/15/2021,-0.026111111,bearish,0,2,8,neutral,10
GOOGL,1/15/2021,0.026111111,neutral,5,1,14,neutral,20
AMZN,1/15/2021,1.73E-18,neutral,0,1,7,neutral,8
NVDA,1/15/2021,0,neutral,0,0,4,neutral,4
META,1/15/2021,0.064461279,bullish,9,2,13,neutral,24
TSLA,1/15/2021,0.118746286,bullish,7,1,9,neutral,17
BTC,1/15/2021,0.018610092,neutral,13,9,24,neutral,46
AAPL,1/18/2021,0.072701692,bullish,5,2,4,bullish,11
MSFT,1/18/2021,0.064814815,bullish,4,3,2,bullish,9
GOOGL,1/18/2021,0.008161977,neutral,2,2,10,neutral,14
AMZN,1/18/2021,0.2,bullish,2,0,3,neutral,5
NVDA,1/18/2021,0.090909091,bullish,1,0,0,bullish,1
META,1/18/2021,0.015210839,neutral,3,4,14,neutral,21
TSLA,1/18/2021,0.099333333,bullish,5,1,4,bullish,10
BTC,1/18/2021,0.026556437,neutral,6,5,16,neutral,27
AAPL,1/19/2021,0.109029304,bullish,5,3,5,bullish,13
MSFT,1/19/2021,0.026136364,neutral,2,1,5,neutral,8
GOOGL,1/19/2021,0.04487494,neutral,6,3,12,neutral,21
AMZN,1/19/2021,0.143555687,bullish,5,0,6,neutral,11
NVDA,1/19/2021,0.03030303,neutral,1,0,2,neutral,3
META,1/19/2021,0.018458831,neutral,5,4,13,neutral,22
TSLA,1/19/2021,0.110798898,bullish,6,1,4,bullish,11
BTC,1/19/2021,0.008633609,neutral,5,4,24,neutral,33
AAPL,1/20/2021,0.103623599,bullish,5,1,7,neutral,13
MSFT,1/20/2021,-0.012037037,neutral,1,3,8,neutral,12
GOOGL,1/20/2021,0.081134396,bullish,8,2,12,neutral,22
AMZN,1/20/2021,0.101971243,bullish,6,0,8,neutral,14
NVDA,1/20/2021,0.119155844,bullish,2,0,2,bullish,4
META,1/20/2021,-0.004833333,neutral,3,4,13,neutral,20
TSLA,1/20/2021,-0.001287157,neutral,4,3,8,neutral,15
BTC,1/20/2021,0.028425974,neutral,8,4,23,neutral,35
AAPL,1/21/2021,0.100490878,bullish,9,1,4,bullish,14
MSFT,1/21/2021,-0.01433725,neutral,2,3,9,neutral,14
GOOGL,1/21/2021,0.049773407,neutral,8,3,12,neutral,23
AMZN,1/21/2021,0.022727273,neutral,2,0,6,neutral,8
NVDA,1/21/2021,0.150880231,bullish,3,0,2,bullish,5
META,1/21/2021,0.016552095,neutral,3,3,13,neutral,19
TSLA,1/21/2021,0.022482993,neutral,3,2,9,neutral,14
BTC,1/21/2021,0.053636364,bullish,6,2,17,neutral,25
AAPL,1/22/2021,0.054300357,bullish,6,2,9,neutral,17
MSFT,1/22/2021,0.045439085,neutral,4,1,9,neutral,14
GOOGL,1/22/2021,-0.014919865,neutral,6,7,12,neutral,25
AMZN,1/22/2021,0.047222222,neutral,2,0,4,neutral,6
NVDA,1/22/2021,0.061447811,bullish,2,0,4,neutral,6
META,1/22/2021,0.067498364,bullish,8,1,14,neutral,23
TSLA,1/22/2021,0.011168831,neutral,2,2,7,neutral,11
BTC,1/22/2021,0.008964646,neutral,4,2,18,neutral,24
AAPL,1/25/2021,0.098701299,bullish,6,0,8,neutral,14
MSFT,1/25/2021,0.012532468,neutral,1,1,8,neutral,10
GOOGL,1/25/2021,-0.009175084,neutral,2,4,12,neutral,18
AMZN,1/25/2021,0.003982684,neutral,3,1,3,bullish,7
NVDA,1/25/2021,-0.013243547,neutral,1,2,3,neutral,6
META,1/25/2021,0.057388167,bullish,6,1,14,neutral,21
TSLA,1/25/2021,0.070283447,bullish,5,2,7,neutral,14
BTC,1/25/2021,0.014670868,neutral,6,4,7,neutral,17
AAPL,1/26/2021,0.076467803,bullish,5,0,11,neutral,16
MSFT,1/26/2021,0.037835498,neutral,4,0,11,neutral,15
GOOGL,1/26/2021,0.008658009,neutral,3,3,17,neutral,23
AMZN,1/26/2021,-0.069292929,bearish,2,1,3,neutral,6
NVDA,1/26/2021,0.02021164,neutral,1,2,2,bearish,5
META,1/26/2021,0.088424619,bullish,9,2,12,neutral,23
TSLA,1/26/2021,0.06962406,bullish,6,1,12,neutral,19
BTC,1/26/2021,0.054878788,bullish,10,5,10,bullish,25
AAPL,1/27/2021,0.089569816,bullish,6,0,11,neutral,17
MSFT,1/27/2021,-0.01490861,neutral,4,5,12,neutral,21
GOOGL,1/27/2021,0.024003219,neutral,5,6,15,neutral,26
AMZN,1/27/2021,0.035606061,neutral,2,1,3,neutral,6
NVDA,1/27/2021,0.108658009,bullish,2,0,1,bullish,3
META,1/27/2021,0.059990303,bullish,9,2,14,neutral,25
TSLA,1/27/2021,0.046657754,neutral,4,2,11,neutral,17
BTC,1/27/2021,0.054177116,bullish,9,1,19,neutral,29
AAPL,1/28/2021,0.069699856,bullish,8,0,13,neutral,21
MSFT,1/28/2021,-0.016194535,neutral,5,4,7,neutral,16
GOOGL,1/28/2021,0.035020576,neutral,9,7,11,neutral,27
AMZN,1/28/2021,0.067121212,bullish,2,1,3,neutral,6
NVDA,1/28/2021,0.018181818,neutral,1,0,2,neutral,3
META,1/28/2021,0.043040929,neutral,6,2,14,neutral,22
TSLA,1/28/2021,0.036595118,neutral,5,3,4,bullish,12
BTC,1/28/2021,0.023321212,neutral,6,0,19,neutral,25
AAPL,1/29/2021,0.077503987,bullish,8,0,11,neutral,19
MSFT,1/29/2021,0.071069882,bullish,7,0,7,bullish,14
GOOGL,1/29/2021,0.020559063,neutral,5,4,9,neutral,18
AMZN,1/29/2021,0.118333333,bullish,3,1,3,bullish,7
NVDA,1/29/2021,0.053030303,bullish,2,0,1,bullish,3
META,1/29/2021,0.052746212,bullish,6,2,16,neutral,24
TSLA,1/29/2021,0.039619529,neutral,4,1,10,neutral,15
BTC,1/29/2021,0.046782107,neutral,11,0,19,neutral,30
AAPL,2/1/2021,0.011818182,neutral,1,0,4,neutral,5
MSFT,2/1/2021,0.064274564,bullish,5,1,5,bullish,11
GOOGL,2/1/2021,0.042256175,neutral,6,2,9,neutral,17
AMZN,2/1/2021,0.097222222,bullish,2,0,4,neutral,6
NVDA,2/1/2021,-0.046666667,bearish,0,1,2,neutral,3
META,2/1/2021,0.068464052,bullish,6,1,10,neutral,17
TSLA,2/1/2021,0.040391672,neutral,5,1,8,neutral,14
BTC,2/1/2021,0.05668643,bullish,8,1,14,neutral,23
AAPL,2/2/2021,0.069588745,bullish,5,0,9,neutral,14
MSFT,2/2/2021,0.012805326,neutral,3,2,6,neutral,11
GOOGL,2/2/2021,0.04382716,neutral,3,3,12,neutral,18
AMZN,2/2/2021,0.030371361,neutral,4,4,9,neutral,17
NVDA,2/2/2021,-0.002142857,neutral,1,1,5,neutral,7
META,2/2/2021,0.063342844,bullish,8,3,11,neutral,22
TSLA,2/2/2021,0.059816587,bullish,7,2,10,neutral,19
BTC,2/2/2021,0.045067921,neutral,10,4,15,neutral,29
AAPL,2/3/2021,0.139987374,bullish,8,1,7,bullish,16
MSFT,2/3/2021,-0.043333333,bearish,0,2,7,neutral,9
GOOGL,2/3/2021,0.073538012,bullish,5,2,12,neutral,19
AMZN,2/3/2021,0.023978188,neutral,5,6,12,neutral,23
NVDA,2/3/2021,0.034780844,neutral,2,0,6,neutral,8
META,2/3/2021,0.072135642,bullish,9,1,8,bullish,18
TSLA,2/3/2021,0.075148148,bullish,5,2,8,neutral,15
BTC,2/3/2021,0.027610193,neutral,5,2,15,neutral,22
AAPL,2/4/2021,0.108730159,bullish,6,1,7,neutral,14
MSFT,2/4/2021,-0.012467532,neutral,4,3,7,neutral,14
GOOGL,2/4/2021,0.053768939,bullish,6,2,14,neutral,22
AMZN,2/4/2021,0.06914903,bullish,5,2,14,neutral,21
NVDA,2/4/2021,0.038311688,neutral,1,0,3,neutral,4
META,2/4/2021,0.040899597,neutral,6,1,12,neutral,19
TSLA,2/4/2021,0.029171717,neutral,4,2,9,neutral,15
BTC,2/4/2021,0.000875152,neutral,6,4,15,neutral,25
AAPL,2/5/2021,0.061212121,bullish,3,0,8,neutral,11
MSFT,2/5/2021,0.006863636,neutral,5,2,8,neutral,15
GOOGL,2/5/2021,0.026895833,neutral,5,4,11,neutral,20
AMZN,2/5/2021,-0.008482644,neutral,2,3,7,neutral,12
NVDA,2/5/2021,0.2344,bullish,2,0,1,bullish,3
META,2/5/2021,0.054516803,bullish,6,2,10,neutral,18
TSLA,2/5/2021,0.052653991,bullish,6,3,8,neutral,17
BTC,2/5/2021,0.011067449,neutral,7,3,21,neutral,31
AAPL,2/8/2021,0.037261905,neutral,2,0,12,neutral,14
MSFT,2/8/2021,0.066042291,bullish,5,0,8,neutral,13
GOOGL,2/8/2021,0.088757631,bullish,5,0,8,neutral,13
AMZN,2/8/2021,0.140666667,bullish,2,1,2,bullish,5
NVDA,2/8/2021,0.137777778,bullish,2,0,1,bullish,3
META,2/8/2021,0.068787879,bullish,5,2,11,neutral,18
TSLA,2/8/2021,0.039178451,neutral,5,0,13,neutral,18
BTC,2/8/2021,0.062179545,bullish,17,1,22,neutral,40
AAPL,2/9/2021,0.043333333,neutral,5,0,19,neutral,24
MSFT,2/9/2021,0.022348485,neutral,3,0,11,neutral,14
GOOGL,2/9/2021,-0.003343154,neutral,1,1,16,neutral,18
AMZN,2/9/2021,0.155887446,bullish,4,1,2,bullish,7
NVDA,2/9/2021,0.082666667,bullish,2,0,3,neutral,5
META,2/9/2021,0.041164021,neutral,4,1,16,neutral,21
TSLA,2/9/2021,0.040918733,neutral,6,1,15,neutral,22
BTC,2/9/2021,0.058486364,bullish,13,2,25,neutral,40
AAPL,2/10/2021,0.063207071,bullish,7,1,14,neutral,22
MSFT,2/10/2021,0.028682984,neutral,4,0,9,neutral,13
GOOGL,2/10/2021,0.048227273,neutral,4,1,15,neutral,20
AMZN,2/10/2021,0.11975469,bullish,5,0,5,bullish,10
NVDA,2/10/2021,0.166666667,bullish,1,0,3,neutral,4
META,2/10/2021,0.061552128,bullish,6,1,17,neutral,24
TSLA,2/10/2021,0.04,neutral,5,2,10,neutral,17
BTC,2/10/2021,0.065504762,bullish,14,3,23,neutral,40
AAPL,2/11/2021,0.07632716,bullish,7,1,10,neutral,18
MSFT,2/11/2021,0.008461538,neutral,2,0,11,neutral,13
GOOGL,2/11/2021,0.03092504,neutral,4,3,12,neutral,19
AMZN,2/11/2021,0.071184464,bullish,4,1,7,neutral,12
NVDA,2/11/2021,0.133333333,bullish,1,0,4,neutral,5
META,2/11/2021,-0.000370599,neutral,5,3,13,neutral,21
TSLA,2/11/2021,0.016069519,neutral,4,1,12,neutral,17
BTC,2/11/2021,0.062165043,bullish,11,1,20,neutral,32
AAPL,2/12/2021,0.031944444,neutral,5,2,7,neutral,14
MSFT,2/12/2021,-0.0125,neutral,1,1,10,neutral,12
GOOGL,2/12/2021,-0.011717172,neutral,2,4,9,neutral,15
AMZN,2/12/2021,0.044352617,neutral,4,2,5,neutral,11
NVDA,2/12/2021,0.0625,bullish,1,0,3,neutral,4
META,2/12/2021,0.005927609,neutral,6,4,10,neutral,20
TSLA,2/12/2021,0.021915519,neutral,4,2,9,neutral,15
BTC,2/12/2021,0.068131313,bullish,12,0,18,neutral,30
AAPL,2/15/2021,0.017748918,neutral,2,1,4,neutral,7
MSFT,2/15/2021,0.08953168,bullish,5,1,5,bullish,11
GOOGL,2/15/2021,0.052712674,bullish,4,0,12,neutral,16
AMZN,2/15/2021,0.102842713,bullish,3,0,3,bullish,6
NVDA,2/15/2021,0.138888889,bullish,2,0,1,bullish,3
META,2/15/2021,0.049910534,neutral,5,3,7,neutral,15
TSLA,2/15/2021,-0.015277778,neutral,1,1,6,neutral,8
BTC,2/15/2021,0.025979483,neutral,8,3,15,neutral,26
AAPL,2/16/2021,0.022643098,neutral,4,3,8,neutral,15
MSFT,2/16/2021,0.133443526,bullish,6,1,4,bullish,11
GOOGL,2/16/2021,0.048098545,neutral,6,2,13,neutral,21
AMZN,2/16/2021,0.064458874,bullish,3,1,7,neutral,11
NVDA,2/16/2021,0.266666667,bullish,1,0,0,bullish,1
META,2/16/2021,0.035904101,neutral,5,4,11,neutral,20
TSLA,2/16/2021,0.065871351,bullish,5,1,7,neutral,13
BTC,2/16/2021,0.037593929,neutral,15,3,18,neutral,36
AAPL,2/17/2021,0.052171717,bullish,5,3,6,neutral,14
MSFT,2/17/2021,0.054195804,bullish,4,4,5,neutral,13
GOOGL,2/17/2021,0.065827561,bullish,9,4,17,neutral,30
AMZN,2/17/2021,0.021456583,neutral,4,4,9,neutral,17
NVDA,2/17/2021,-0.01,neutral,0,1,3,neutral,4
META,2/17/2021,0.067738095,bullish,4,1,11,neutral,16
TSLA,2/17/2021,0.096125541,bullish,6,0,9,neutral,15
BTC,2/17/2021,0.012584338,neutral,12,4,21,neutral,37
AAPL,2/18/2021,0.075208754,bullish,6,0,9,neutral,15
MSFT,2/18/2021,0.034840715,neutral,4,2,7,neutral,13
GOOGL,2/18/2021,0.076794795,bullish,12,2,15,neutral,29
AMZN,2/18/2021,0.002424242,neutral,2,3,6,neutral,11
NVDA,2/18/2021,-0.01,neutral,0,1,3,neutral,4
META,2/18/2021,0.112754614,bullish,9,0,10,neutral,19
TSLA,2/18/2021,0.039166667,neutral,3,2,7,neutral,12
BTC,2/18/2021,0.043122294,neutral,11,3,14,neutral,28
AAPL,2/19/2021,0.022106782,neutral,5,1,14,neutral,20
MSFT,2/19/2021,-0.022720714,neutral,3,3,5,neutral,11
GOOGL,2/19/2021,0.107642332,bullish,11,0,11,bullish,22
AMZN,2/19/2021,0.064666667,bullish,1,0,4,neutral,5
NVDA,2/19/2021,0,neutral,0,0,1,neutral,1
META,2/19/2021,0.094704872,bullish,9,0,12,neutral,21
TSLA,2/19/2021,0.015238095,neutral,2,2,3,neutral,7
BTC,2/19/2021,0.042694805,neutral,9,1,18,neutral,28
AAPL,2/22/2021,0.01010101,neutral,2,2,5,neutral,9
MSFT,2/22/2021,0.03970844,neutral,4,2,7,neutral,13
GOOGL,2/22/2021,-0.013987241,neutral,3,3,13,neutral,19
AMZN,2/22/2021,0.021991342,neutral,2,1,0,bullish,3
NVDA,2/22/2021,0,neutral,0,0,3,neutral,3
META,2/22/2021,0.090127592,bullish,6,1,12,neutral,19
TSLA,2/22/2021,0.074660895,bullish,4,0,7,neutral,11
BTC,2/22/2021,0.073669766,bullish,10,2,15,neutral,27
AAPL,2/23/2021,0.062156863,bullish,7,2,8,neutral,17
MSFT,2/23/2021,0.069753086,bullish,4,0,11,neutral,15
GOOGL,2/23/2021,0.01536526,neutral,5,2,17,neutral,24
AMZN,2/23/2021,0.036697588,neutral,1,0,6,neutral,7
NVDA,2/23/2021,0.0775,bullish,2,0,4,neutral,6
META,2/23/2021,0.041972222,neutral,6,1,13,neutral,20
TSLA,2/23/2021,0.06675359,bullish,6,2,7,neutral,15
BTC,2/23/2021,0.035553397,neutral,11,7,21,neutral,39
AAPL,2/24/2021,0.067442795,bullish,10,3,8,bullish,21
MSFT,2/24/2021,0.002272727,neutral,2,1,11,neutral,14
GOOGL,2/24/2021,0.051669272,bullish,9,2,13,neutral,24
AMZN,2/24/2021,0.019870581,neutral,1,1,6,neutral,8
NVDA,2/24/2021,0.0775,bullish,2,0,4,neutral,6
META,2/24/2021,0.031454294,neutral,6,1,16,neutral,23
TSLA,2/24/2021,0.094525935,bullish,7,2,7,bullish,16
BTC,2/24/2021,0.028008918,neutral,10,7,20,neutral,37
AAPL,2/25/2021,0.041300956,neutral,6,4,6,bullish,16
MSFT,2/25/2021,0.056998557,bullish,3,0,9,neutral,12
GOOGL,2/25/2021,0.046329508,neutral,7,1,13,neutral,21
AMZN,2/25/2021,0.038377525,neutral,2,2,0,bullish,4
NVDA,2/25/2021,-0.045136054,bearish,1,3,3,bearish,7
META,2/25/2021,0.003333333,neutral,3,1,16,neutral,20
TSLA,2/25/2021,0.057494589,bullish,5,2,7,neutral,14
BTC,2/25/2021,0.061209802,bullish,10,3,15,neutral,28
AAPL,2/26/2021,0.012609983,neutral,3,5,5,bearish,13
MSFT,2/26/2021,0.055992156,bullish,4,1,8,neutral,13
GOOGL,2/26/2021,0.000865801,neutral,3,1,18,neutral,22
AMZN,2/26/2021,0.062857143,bullish,2,1,4,neutral,7
NVDA,2/26/2021,0.001931217,neutral,2,4,3,bearish,9
META,2/26/2021,-0.013966862,neutral,1,3,15,neutral,19
TSLA,2/26/2021,0.000688131,neutral,3,2,7,neutral,12
BTC,2/26/2021,0.084425991,bullish,8,2,16,neutral,26
AAPL,3/1/2021,0.064583333,bullish,3,0,13,neutral,16
MSFT,3/1/2021,0.103661616,bullish,6,1,5,bullish,12
GOOGL,3/1/2021,0.124195951,bullish,9,1,7,bullish,17
AMZN,3/1/2021,0.073863636,bullish,2,1,3,neutral,6
NVDA,3/1/2021,0.222222222,bullish,1,0,2,neutral,3
META,3/1/2021,0.076706521,bullish,9,1,11,neutral,21
TSLA,3/1/2021,-0.032098765,bearish,1,1,7,neutral,9
BTC,3/1/2021,0.03631265,neutral,5,2,13,neutral,20
AAPL,3/2/2021,0.03754386,neutral,3,1,15,neutral,19
MSFT,3/2/2021,0.035700758,neutral,6,2,8,neutral,16
GOOGL,3/2/2021,0.08647357,bullish,6,1,12,neutral,19
AMZN,3/2/2021,0.086761364,bullish,4,2,2,bullish,8
NVDA,3/2/2021,0.166666667,bullish,1,0,3,neutral,4
META,3/2/2021,0.063790702,bullish,6,4,13,neutral,23
TSLA,3/2/2021,0.051723485,bullish,3,0,9,neutral,12
BTC,3/2/2021,0.022112795,neutral,5,4,14,neutral,23
AAPL,3/3/2021,-0.00532211,neutral,3,2,10,neutral,15
MSFT,3/3/2021,0.024307359,neutral,4,1,9,neutral,14
GOOGL,3/3/2021,-0.023143939,neutral,4,3,13,neutral,20
AMZN,3/3/2021,0.08165368,bullish,5,1,4,bullish,10
NVDA,3/3/2021,0.166666667,bullish,2,0,2,bullish,4
META,3/3/2021,0.066460524,bullish,7,4,10,neutral,21
TSLA,3/3/2021,0.009047348,neutral,3,2,5,neutral,10
BTC,3/3/2021,0.024797009,neutral,5,5,16,neutral,26
AAPL,3/4/2021,0.022934473,neutral,2,1,10,neutral,13
MSFT,3/4/2021,0.048508461,neutral,3,1,7,neutral,11
GOOGL,3/4/2021,-0.005066538,neutral,5,3,13,neutral,21
AMZN,3/4/2021,0.059970574,bullish,7,1,9,neutral,17
NVDA,3/4/2021,0.111111111,bullish,2,0,4,neutral,6
META,3/4/2021,0.050585618,bullish,6,2,13,neutral,21
TSLA,3/4/2021,0.032634033,neutral,3,2,8,neutral,13
BTC,3/4/2021,0.024340399,neutral,35,19,105,neutral,159
AAPL,3/5/2021,0.058911736,bullish,4,0,8,neutral,12
MSFT,3/5/2021,0.035298035,neutral,5,1,7,neutral,13
GOOGL,3/5/2021,0.052906045,bullish,7,2,12,neutral,21
AMZN,3/5/2021,0.028367003,neutral,4,1,11,neutral,16
NVDA,3/5/2021,-0.003333333,neutral,0,0,6,neutral,6
META,3/5/2021,-0.011906566,neutral,2,4,16,neutral,22
TSLA,3/5/2021,0.018702652,neutral,4,2,10,neutral,16
BTC,3/5/2021,0.037337645,neutral,42,15,101,neutral,158
AAPL,3/8/2021,-0.004814815,neutral,1,2,6,neutral,9
MSFT,3/8/2021,0.07280303,bullish,4,0,7,neutral,11
GOOGL,3/8/2021,0.034777022,neutral,4,1,13,neutral,18
AMZN,3/8/2021,0.094333333,bullish,5,0,5,bullish,10
NVDA,3/8/2021,0.2,bullish,2,0,0,bullish,2
META,3/8/2021,0.043045113,neutral,4,1,14,neutral,19
TSLA,3/8/2021,0.055084175,bullish,4,2,4,bullish,10
BTC,3/8/2021,0.020334112,neutral,9,1,19,neutral,29
AAPL,3/9/2021,0.065211919,bullish,4,2,10,neutral,16
MSFT,3/9/2021,0.083611111,bullish,5,0,10,neutral,15
GOOGL,3/9/2021,0.043920841,neutral,5,1,15,neutral,21
AMZN,3/9/2021,0.107037037,bullish,4,0,5,neutral,9
NVDA,3/9/2021,0.133333333,bullish,2,0,3,neutral,5
META,3/9/2021,0.044183673,neutral,4,1,16,neutral,21
TSLA,3/9/2021,0.057663818,bullish,3,2,8,neutral,13
BTC,3/9/2021,0.041582792,neutral,7,1,20,neutral,28
AAPL,3/10/2021,0.05730432,bullish,5,2,14,neutral,21
MSFT,3/10/2021,0.022270408,neutral,3,2,9,neutral,14
GOOGL,3/10/2021,0.032493355,neutral,5,1,13,neutral,19
AMZN,3/10/2021,0.070865801,bullish,3,2,3,bullish,8
NVDA,3/10/2021,0.002083333,neutral,1,2,5,neutral,8
META,3/10/2021,0.073614719,bullish,7,2,13,neutral,22
TSLA,3/10/2021,0.08875,bullish,5,0,11,neutral,16
BTC,3/10/2021,0.03243083,neutral,6,4,13,neutral,23
AAPL,3/11/2021,0.028347312,neutral,5,2,9,neutral,16
MSFT,3/11/2021,-0.013978175,neutral,2,3,7,neutral,12
GOOGL,3/11/2021,0.04204922,neutral,8,2,9,neutral,19
AMZN,3/11/2021,0.081128427,bullish,7,2,6,bullish,15
NVDA,3/11/2021,0.014864418,neutral,2,3,3,bearish,8
META,3/11/2021,0.058712121,bullish,7,2,11,neutral,20
TSLA,3/11/2021,0.046688312,neutral,3,2,7,neutral,12
BTC,3/11/2021,-0.004222222,neutral,3,5,12,neutral,20
AAPL,3/12/2021,0.077176768,bullish,8,2,10,neutral,20
MSFT,3/12/2021,0.104047619,bullish,3,1,6,neutral,10
GOOGL,3/12/2021,0.047366659,neutral,10,3,9,bullish,22
AMZN,3/12/2021,0.118333333,bullish,9,0,8,bullish,17
NVDA,3/12/2021,0.15037478,bullish,3,1,2,bullish,6
META,3/12/2021,0.079584809,bullish,8,1,13,neutral,22
TSLA,3/12/2021,0.101582054,bullish,3,1,7,neutral,11
BTC,3/12/2021,0.000586611,neutral,4,5,14,neutral,23
AAPL,3/15/2021,0.000707071,neutral,4,2,9,neutral,15
MSFT,3/15/2021,0.021294766,neutral,2,2,7,neutral,11
GOOGL,3/15/2021,0.04338945,neutral,4,2,12,neutral,18
AMZN,3/15/2021,0.217777778,bullish,2,0,1,bullish,3
NVDA,3/15/2021,0.069455782,bullish,2,1,4,neutral,7
META,3/15/2021,-0.012260493,neutral,1,7,15,neutral,23
