Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,BTC-USD
2021-01-02,,,,,,,,0.09372577639540935
2021-01-03,,,,,,,,0.020380066800975483
2021-01-04,,,,,,,,-0.024712000360334718
2021-01-05,0.012363755452769576,0.0009646644072989208,0.008064317226109896,0.010004358381754175,0.022210038284621536,0.0075482766437067195,0.007317368906131216,0.06319658000613337
2021-01-06,-0.03366147716533763,-0.025929339691388997,-0.009867719002749631,-0.024896614147709384,-0.058952950846471674,-0.028268955113965433,0.028390302267496503,0.08331071417326141
2021-01-07,0.03412330105341499,0.028457110328356183,0.029868851287460974,0.0075771277744003385,0.05783014219506666,0.020621948625924702,0.07944656360858104,0.0691574669750421
2021-01-08,0.00863102377822611,0.00609272377555059,0.013238635407375021,0.006495514374673217,-0.0050396312901798135,-0.004353461247344037,0.07840299470467449,0.0362338992996023
2021-01-09,,,,,,,,-0.013311135341493308
2021-01-10,,,,,,,,-0.047152573214749416
2021-01-11,-0.02324871733295164,-0.009698509619013085,-0.023105697231497024,-0.021519462280005563,0.025966414137304383,-0.04010163756534668,-0.07821411721500826,-0.07273315912449108
2021-01-12,-0.001395495330898111,-0.011770756616219402,-0.010738593399909013,0.002125797051401035,-0.01003922294200632,-0.022387537658306256,0.047152947996006445,-0.046214502171538774
2021-01-13,0.016226837829680596,0.006560343304214955,0.005652123748588922,0.014438406874172749,0.0034853257836966467,0.002190471995839216,0.005850950889994211,0.10003249550509552
2021-01-14,-0.015127281112035207,-0.015346118956555799,-0.009346138427043349,-0.012135545173177387,-0.024498085125520097,-0.023843607555109836,-0.011013523157297866,0.050138030111625875
2021-01-15,-0.013730648606264606,-0.0017370100144110667,-0.0019065214375502126,-0.007424600125642833,-0.0258137119088494,0.023286147872276786,-0.02229585445953386,-0.06027358971670127
2021-01-16,,,,,,,,-0.017575563040677422
2021-01-17,,,,,,,,-0.010693288117263444
2021-01-18,,,,,,,,0.023435790428599335
2021-01-19,0.00542722619360636,0.01782263887652702,0.032906592230371956,0.005318518294228358,0.01288934215522386,0.03874935239404276,0.022259629183487784,-0.015295342507474663
2021-01-20,0.032855995349355016,0.036499764935014056,0.05357322770072104,0.04570048462239673,0.026141586355641788,0.02443504574824762,0.00698599786790699,-0.014473454791977813
2021-01-21,0.03665865654812395,0.0028082080256670583,0.002170204717513391,0.013363421550624865,0.037539899421482614,0.020150875595206008,-0.006420156263490129,-0.1328368400602007
2021-01-22,0.016073357026000323,0.0043561141757866295,0.004463494336711893,-0.00446331304512726,-0.011177224765373306,0.005973699555581913,0.0019526425140830028,0.07072224005462169
2021-01-23,,,,,,,,-0.02842289017956734
2021-01-24,,,,,,,,0.006914643868341619
2021-01-25,0.02768411152364325,0.015844224183752198,0.0009087833493994779,0.0005376354551673845,-0.0043208858223823254,0.012786772475199104,0.040347806114603646,0.0023851084933719235
2021-01-26,0.0016789945226369785,0.012198759436769402,0.007216533683786386,0.009754137082109926,-0.015966762993333328,0.01453174680570557,0.0025999188207492807,0.006286058316783416
2021-01-27,-0.007683301999751424,0.0024534395817825683,-0.04665217139691957,-0.02812581228312927,-0.03851804747122478,-0.03513549355640022,-0.02143608477064074,-0.06562212475675022
2021-01-28,-0.03498562824194784,0.02589100011698675,0.018835200665995977,0.0015591193708615059,0.010315111723420811,-0.026236473733639576,-0.033246240146660666,0.09968113394222766
2021-01-29,-0.03742051081381115,-0.029171623180927586,-0.013943584736272219,-0.009704654514695155,-0.0046932962235832765,-0.025169828804796457,-0.05015373491403896,0.02540747568580648
2021-01-30,,,,,,,,-0.0013656239986477026
2021-01-31,,,,,,,,-0.03370820328466961
2021-02-01,0.016520131213057843,0.033152176539030354,0.03595918350586036,0.042629902924745666,0.019034456586126458,0.014245302093209178,0.058321672867634566,0.012768370405776608
2021-02-02,0.006336643072146986,-0.0005840693648075934,0.01376066375803875,0.011104214562255077,0.024155818659960637,0.019350342200842086,0.039270726531715816,0.05883361479570781
2021-02-03,-0.0077781183903844475,0.014571447421260597,0.0728249768168241,-0.019961565909300982,-0.0019362737094793525,-0.0016099334130347254,-0.020738065332563282,0.055245981743407446
2021-02-04,0.025757399044562312,-0.004074281350701092,-0.002549846444663384,0.005575845147329783,0.00988500295579886,-0.0005999308160977712,-0.005499119810906672,-0.014571470120209207
2021-02-05,-0.003098036299566398,0.0007852106954855387,0.017140343464584484,0.006349415177487883,-0.005360721474435559,0.00604130420163429,0.0026353496607176563,0.032991388091470286
2021-02-06,,,,,,,,0.029406828078771152
2021-02-07,,,,,,,,-0.009233693380855112
2021-02-08,0.0010970976469371063,0.001114843913704977,-0.002063429886016155,-0.008713780773966562,0.062375840821311535,-0.005669432881888037,0.0131302972383458,0.18746473766529936
2021-02-09,-0.0065738909627997,0.005361372286306176,-0.0043798137581854135,-0.00539885256244832,-0.012154777056693655,0.010766081379426362,-0.016168321643152184,0.006161523959955284
2021-02-10,-0.004558352868830995,-0.0038970598567801273,0.00534350677519857,-0.005573405440383872,0.03512518903034145,0.008981280595069974,-0.052550944303998315,-0.03362488605290981
2021-02-11,-0.001920540101499446,0.006877610926529387,0.0010878879435782807,-0.007439273910078148,0.03295110050701178,-0.005443767566719715,0.008498789811735685,0.0665910372634968
2021-02-12,0.0017761376307545707,0.0020450639797562342,0.003006660050044685,0.004775969497859078,-0.018982470471444413,0.0004067332364725562,0.005494900903412869,-0.008442623839676311
2021-02-13,,,,,,,,-0.008406213773231364
2021-02-14,,,,,,,,0.03421623595697554
2021-02-15,,,,,,,,-0.01585126109458379
2021-02-16,-0.016104041139510694,-0.00526563081317688,0.007479681143732986,-0.0026726192693009576,0.02466377484983351,0.01282795248116253,-0.024383660823671716,0.026171883752032166
2021-02-17,-0.01764374109872724,0.004359573796488991,0.0037522344100269223,0.012141589169594624,-0.027674152314047906,-0.0014598662571974064,0.0024238672272682837,0.05994196027730325
2021-02-18,-0.008636528398006216,-0.0016787829694142609,-0.006046433259264572,0.005920814274298136,-0.005165707899410066,-0.01527945140040643,-0.013493691045324274,-0.008997504596578998
2021-02-19,0.0012333288358197247,-0.011567550107401847,-0.008072846443418324,-0.023535055745747435,0.006574932124304489,-0.029065657771743192,-0.007721833533733569,0.08143096900475189
2021-02-20,,,,,,,,0.0037823185014820293
2021-02-21,,,,,,,,0.025676258785917394
2021-02-22,-0.029798838860902843,-0.02680828928105683,-0.016540516049379117,-0.021280609604111933,-0.038237383204029585,-0.004702639894225702,-0.08549845855559934,-0.05791845963531039
2021-02-23,-0.0011110618681338114,-0.005287635255853518,0.00285258030481339,0.004326059526709614,-0.014889523380872682,0.02124221481423172,-0.021917429429917368,-0.09930198541853996
2021-02-24,-0.004052171781397718,0.005487233790876234,0.011499329935485303,-0.010946968676518232,0.02524382207767606,-0.005830007508168422,0.06178807266392261,0.018042326886684945
2021-02-25,-0.03478272934556703,-0.02370512365200317,-0.03256535360505852,-0.03240038681954516,-0.0821779338789077,-0.036396644302147285,-0.08059082496045267,-0.052539242009451814
2021-02-26,0.0022317578196611176,0.014804260192436747,0.0029563942109125385,0.011700387973209825,0.03058425416349353,0.011504014921474903,-0.009850152211020369,-0.016012490351298148
2021-02-27,,,,,,,,-0.003265200081699504
2021-02-28,,,,,,,,-0.022747754528746222
2021-03-01,0.05385107262344624,0.019623134960078614,0.023616354161467346,0.017203798394717307,0.009278465507878142,0.028297651948072877,0.06355291148192554,0.09955017057586457
2021-03-02,-0.020893636634168322,-0.01295692265908055,-0.002502824325336217,-0.016404262105025436,-0.03146273052249848,-0.022309471204405185,-0.044527636486599076,-0.025231161886280384
2021-03-03,-0.024456517504555464,-0.026980848028386406,-0.025706282225669286,-0.02893170479822993,-0.0448670774293185,-0.013861007998470898,-0.048423758283395624,0.04463205996986197
2021-03-04,-0.015811926600814985,-0.0036475162948509388,0.01119612728839603,-0.009128157985388907,-0.03393287599184158,0.00873117142322033,-0.04862218183112754,-0.039120359814156846
2021-03-05,0.010738448579999949,0.02147938800366833,0.03104337436284088,0.007687481916645478,0.007376620855167326,0.025772328007512835,-0.037799313531283074,0.007539701660092213
2021-03-06,,,,,,,,-0.0003049805235605385
2021-03-07,,,,,,,,0.046906498146797926
2021-03-08,-0.04167352882762776,-0.018177791172840796,-0.04271199704214712,-0.016167463748385735,-0.06967465234487391,-0.03394127928764812,-0.05844967282854319,0.020306565464276005
2021-03-09,0.04064961200562345,0.02810151002812522,0.016368660180301253,0.03756837366056898,0.08033340623677399,0.04085215521055652,0.1964120760817838,0.049335220420617
2021-03-10,-0.009166726028867145,-0.005817428855705575,-0.0020437718436090435,-0.0017010173123747085,-0.004153370900036757,-0.00316094137030154,-0.00819506910832657,0.021604243798385436
2021-03-11,0.016502782467044952,0.020264995288100662,0.031603149025941635,0.018298429776605563,0.04212693095213593,0.03389960069206133,0.04721134236531421,0.032076714848716215
2021-03-12,-0.007625415134419278,-0.00581952788639184,-0.024060436955067432,-0.0077402727850476305,-0.01058229897273033,-0.020008840819171647,-0.008390501992574073,-0.008183206626845796
2021-03-13,,,,,,,,0.06821652767950437
2021-03-14,,,,,,,,-0.031689610370558396
2021-03-15,0.024456740622878836,-0.00398737236329938,0.002165862340111513,-0.0025279442445658162,0.02607745278847906,0.01993308879271516,0.020483461206222797,-0.05725100456855314
2021-03-16,0.012743117952058514,0.012350469368677564,0.014334776431798701,0.0033034103914528767,0.007580764068389811,0.020200971228516273,-0.04387377195940434,0.01605702194966918
